등록번호,대표자,상호,소재지,전화번호,구
41113-2020-00119,한신석,(주)에이치부동산중개법인,"경기도 수원시 권선구 호매실로90번길 24 144호(호매실동, 프리마비즈타워)",031-291-7903,권선구
41113-2016-00047,함나경,(주)현대공인중개사사무소,경기도 수원시 권선구 산업로 180 108호 (고색동),031-207-4000,권선구
가3680-2698,김미경,114공인중개사사무소,경기도 수원시 권선구 정조로526번길 28-22 (세류동),031-226-5114,권선구
41113-2023-00004,최돈순,123하늘채퍼스트공인중개사사무소,경기도 수원시 권선구 곡반정로 160 라퍼스트 123호,031-893-6259,권선구
41113-2021-00161,차윤희,13단지메가홈즈공인중개사사무소,경기도 수원시 권선구 호매실로218번길 128 104호(호매실동),031-292-2921,권선구
41113-2021-00047,윤은숙,13단지한신에이스부동산공인중개사사무소,경기도 수원시 권선구 호매실로218번길 126 101호(호매실동),031-278-0111,권선구
41113-2021-00106,권송미,13단지한신최고공인중개사사무소,"경기도 수원시 권선구 호매실로218번길 111 상가동 105호(호매실동, 호매실마을13단지)",031-227-0007,권선구
41113-2021-00074,김영희,13단지한신탑공인중개사사무소,경기도 수원시 권선구 호매실로218번길 128 105호(호매실동),031-227-2100,권선구
41113-2019-00042,조한미,19단지스위첸원 공인중개사사무소,"경기도 수원시 권선구 호매실로166번길 63 상가동 103호(호매실동, 호매실스위첸 능실마을19단지)",031-297-0077,권선구
가3680-376,오봉태,2000년대공인중개사사무소,"경기도 수원시 권선구 매탄로 11 , 상가동 207호(권선동, 권선현대아파트)",223-3500,권선구
41113-2021-00062,박정효,20단지호매실엔루체공인중개사사무소,"경기도 수원시 권선구 호매실로166번길 70 상가동 103호(호매실동, 호매실엔루체)",031-294-5552,권선구
가3680-2417,김영해,21C공인중개사사무소,"경기도 수원시 권선구 효원로256번길 7 101-2호(권선동,지오베르끄)",031-223-4599,권선구
41113-2021-00051,김지윤,21단지대표공인중개사사무소,"경기도 수원시 권선구 호매실로 103 상가동 105호(호매실동, 능실마을21단지)",031-292-0021,권선구
가3680-557,최경자,21세기공인중개사사무소,"경기도 수원시 권선구 권중로 82 상가 101호(권선동, 신우아파트)",031-221-0365,권선구
41113-2015-00134,임태희,2단지시티공인중개사사무소,"경기도 수원시 권선구 동수원로145번길 24 상가-1동 111호(권선동, 수원아이파크시티2단지)",031-231-9100,권선구
41113-2022-00093,이응주,365부동산공인중개사사무소,"경기도 수원시 권선구 오목천로132번길 33 103-1호(고색동, 휴먼스카이밸리)",031-305-3656,권선구
41113-2023-00061,한승재,5단지스타힐스공인중개사사무소,"경기도 수원시 권선구 금곡로102번길 20 112호(금곡동, 센타프라자)",031-895-4111,권선구
