buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,houseType,jibun,landAr,mhouseNm,rgstDate,sggCd,slerGbn,umdNm,지역구명
2019, , , ,"26,000",28,1,2021, , ,57.15,5,다세대,212-23,20.09,DM빌리지, ,41111, ,연무동,수원시 장안구
1990, , , ,"8,750",30,1,2021, , ,35.86,3,다세대,557-11,21.0875,황금빌라, ,41111, ,파장동,수원시 장안구
1993, , , ,"10,000",29,1,2021, , ,40.13,1,다세대,6-14,22.63,"뉴골든타운(6,7동)", ,41111, ,연무동,수원시 장안구
1993, , , ,"8,900",27,1,2021, , ,39.17,1,다세대,743-2,23.465,삼정빌라, ,41111, ,조원동,수원시 장안구
1996, , , ,"15,700",31,1,2021, , ,71.1,3,다세대,732-11,42.38,효성빌라(A동), ,41111, ,조원동,수원시 장안구
1991, ,21.05.30,O,"12,000",27,1,2021, , ,33.07,4,다세대,562-5,25.69,진주맨션5동, ,41111, ,파장동,수원시 장안구
2019, , , ,"25,500",23,1,2021, , ,57.15,2,다세대,212-23,20.09,DM빌리지, ,41111, ,연무동,수원시 장안구
1991, , , ,"13,500",23,1,2021, , ,44.64,3,다세대,37-45,26.625,신형빌라, ,41111, ,정자동,수원시 장안구
1991, , , ,"12,500",23,1,2021, , ,43.5,4,다세대,402-1,16.3,삼성빌라(402-1), ,41111, ,파장동,수원시 장안구
1991, , , ,"12,000",23,1,2021, , ,45.27,1,다세대,728-9,38.1,신우주택(가동), ,41111, ,조원동,수원시 장안구
2009, , , ,"19,200",30,1,2021, , ,70.17,3,다세대,167-12,49,성원아트빌, ,41111, ,율전동,수원시 장안구
1993, , , ,"10,000",30,1,2021, , ,44.58,2,다세대,61-265,27.07,뉴골든타운(14동), ,41111, ,연무동,수원시 장안구
2003, , , ,"15,950",21,1,2021, , ,59.64,2,다세대,597-16,27.1,동원파크빌, ,41111, ,파장동,수원시 장안구
2017, , , ,"29,500",25,1,2021, , ,62.29,5,다세대,235-23,43.2,리치캐슬, ,41111, ,연무동,수원시 장안구
1990, , , ,"10,800",29,1,2021, , ,41.98,2,다세대,459-29,26.19,현성타운(뉴골든타운(1동)), ,41111, ,송죽동,수원시 장안구
1986, , , ,"7,500",20,1,2021, , ,31.86,1,다세대,212-36,24.0502,연무빌라(B동), ,41111, ,연무동,수원시 장안구
1986, , , ,"9,000",23,1,2021, , ,31.86,2,다세대,212-37,23.3399,연무빌라(C동), ,41111, ,연무동,수원시 장안구
1992, , , ,"4,250",30,1,2021, , ,36.9,-1,다세대,61-262,19.48,뉴골든타운(17동), ,41111, ,연무동,수원시 장안구
1993, , , ,"47,000",21,1,2021, , ,37.75,4,다세대,488,35,한성프린스5동, ,41111, ,정자동,수원시 장안구
1990, , , ,"9,500",28,1,2021, , ,51.45,1,다세대,6-10,35.9935,경원빌라, ,41111, ,연무동,수원시 장안구
1984, , , ,"12,900",30,1,2021, , ,79.56,2,연립,769-13,62.075,거화빌라(가동), ,41111, ,조원동,수원시 장안구
1991, , , ,"11,200",30,1,2021, , ,43.32,3,다세대,781-22,26.425,정은빌라(5동), ,41111, ,조원동,수원시 장안구
1991, , , ,"8,500",31,1,2021, , ,33.07,4,다세대,562-5,25.69,진주맨션5동, ,41111, ,파장동,수원시 장안구
1988, , , ,"11,000",21,1,2021, , ,41.58,1,다세대,740-8,17.5061,경원빌라(5동), ,41111, ,조원동,수원시 장안구
1984, , , ,"10,100",19,1,2021, , ,52.38,2,연립,768-4,47.4201,원일빌라, ,41111, ,조원동,수원시 장안구
1995, , , ,"26,000",30,1,2021, , ,132.84,8,연립다세대,73-10,42.03,정자종합시장, ,41111, ,정자동,수원시 장안구
1983, , , ,"10,800",30,1,2021, , ,52.05,3,연립,70-63,44.3,경희, ,41111, ,정자동,수원시 장안구
1991, , , ,"10,000",22,1,2021, , ,45.84,3,다세대,765-3,30.375,협신빌라(가동), ,41111, ,조원동,수원시 장안구
1986, , , ,"7,500",20,1,2021, , ,31.86,-1,다세대,212-37,23.3003,연무빌라(C동), ,41111, ,연무동,수원시 장안구
1986, , , ,"6,800",18,1,2021, , ,31.86,-1,다세대,212-36,24.09,연무빌라(B동), ,41111, ,연무동,수원시 장안구
1991, , , ,"11,800",18,1,2021, , ,44.64,2,다세대,37-31,26.63,덕성빌라, ,41111, ,정자동,수원시 장안구
1989, , , ,"9,000",29,1,2021, , ,35.92,3,다세대,495-19,5.0902,올림픽빌라(B동), ,41111, ,송죽동,수원시 장안구
1982, ,21.03.17,O,"10,000",22,1,2021, , ,65.16,2,연립,290-29,63.3,삼전, ,41111, ,율전동,수원시 장안구
1991, , , ,"9,000",21,1,2021, , ,41.49,3,다세대,559-2,26.04,동양빌라, ,41111, ,파장동,수원시 장안구
1991, , , ,"33,000",21,1,2021, , ,35.1,3,다세대,81-1,29.7,하나루빌라, ,41111, ,영화동,수원시 장안구
2003, , , ,"15,200",23,1,2021, , ,66.5,1,다세대,34-3,36.1,현대하트웰103동, ,41111, ,영화동,수원시 장안구
2001, , , ,"18,000",28,1,2021, , ,76.37,3,다세대,737-22,52.775,미림주택(가동), ,41111, ,조원동,수원시 장안구
2014, , , ,"23,000",29,1,2021, , ,79.35,5,다세대,424-21,50.189,명성주택2차, ,41111, ,영화동,수원시 장안구
1986, , , ,"7,500",25,1,2021, , ,31.86,1,다세대,212-37,23.3399,연무빌라(C동), ,41111, ,연무동,수원시 장안구
2019, , , ,"28,900",30,1,2021, , ,51.4,5,다세대,272-101,29.5933,더원팰리스, ,41111, ,송죽동,수원시 장안구
1979, , , ,"10,900",14,1,2021, , ,56.73,2,연립,589-1,59.1083,승진, ,41111, ,파장동,수원시 장안구
1988, , , ,"10,000",12,1,2021, , ,40.72,1,다세대,740-10,23.7625,경원빌라(3동), ,41111, ,조원동,수원시 장안구
1990, , , ,"14,000",25,1,2021, , ,40.06,3,다세대,121,27.25,우림빌라(A동), ,41111, ,송죽동,수원시 장안구
1992, , , ,"7,800",12,1,2021, , ,41.19,2,다세대,4-13,28.37,대진빌라(나동), ,41111, ,연무동,수원시 장안구
2020, , , ,"26,500",16,1,2021, , ,70.43,2,다세대,398-48,36.05,더쉼빌, ,41111, ,송죽동,수원시 장안구
1993, , , ,"9,850",28,1,2021, , ,42.96,4,다세대,61-276,23.44,뉴골든타운(15동), ,41111, ,연무동,수원시 장안구
1991, , , ,"5,500",23,1,2021, , ,36.94,-1,다세대,219-39,27.38,"광원빌라(3,4동)", ,41111, ,연무동,수원시 장안구
1989, , , ,"10,900",18,1,2021, , ,39.3,1,다세대,443-26,40.7439,"금성주택(A,B)", ,41111, ,송죽동,수원시 장안구
1989, , , ,"10,500",18,1,2021, , ,49.9,2,다세대,768-3,35.317,성도빌라, ,41111, ,조원동,수원시 장안구
1985, , , ,"14,000",27,1,2021, , ,54.8,3,연립다세대,377-12,46,삼아, ,41111, ,송죽동,수원시 장안구
1984, , , ,"10,100",13,1,2021, , ,52.38,2,연립,768-4,47.4201,원일빌라, ,41111, ,조원동,수원시 장안구
1989, , , ,"8,900",29,1,2021, , ,38.19,2,다세대,754-11,44.4956,일양빌라(D동), ,41111, ,조원동,수원시 장안구
2014, , , ,"14,700",24,1,2021, , ,48.74,2,다세대,442-3,29.51,다솜주택빌1, ,41111, ,영화동,수원시 장안구
1990, , , ,"11,000",30,1,2021, , ,47.72,1,다세대,68-26,36.449,동일빌라(68-26), ,41111, ,정자동,수원시 장안구
