buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,offiNm,sggCd,sggNm,slerGbn,umdNm,지역구명
2005, , , ,"17,500",31,1,2021, , ,58.42,15,285-2,SK HUB BLUE,41111,수원시 장안구, ,율전동,수원시 장안구
2020, , , ,"29,800",10,1,2021, , ,84.725,3,583-43,대경시실리,41111,수원시 장안구, ,파장동,수원시 장안구
2003, , , ,"9,900",23,1,2021, , ,34,9,894,일호골든타워,41111,수원시 장안구, ,조원동,수원시 장안구
1989, , , ,"4,000",23,1,2021, , ,20.25,7,300,율전미주타운,41111,수원시 장안구, ,율전동,수원시 장안구
2006, , , ,"22,000",2,1,2021, , ,59.99,3,514,수원로얄팰리스,41111,수원시 장안구, ,송죽동,수원시 장안구
2005, , , ,"22,000",1,1,2021, , ,75.49,13,285-2,SK HUB BLUE,41111,수원시 장안구, ,율전동,수원시 장안구
2005, , , ,"16,000",11,1,2021, , ,58.42,17,285-2,SK HUB BLUE,41111,수원시 장안구, ,율전동,수원시 장안구
2004, ,21.04.30,O,"20,200",7,1,2021, , ,71.61,13,1011-14,올림픽공원대우미래사랑 101동,41113,수원시 권선구, ,권선동,수원시 권선구
2004, , , ,"20,200",7,1,2021, , ,71.61,13,1011-14,올림픽공원대우미래사랑 101동,41113,수원시 권선구, ,권선동,수원시 권선구
2004, , , ,"8,300",23,1,2021, , ,35,2,1011-14,올림픽공원대우미래사랑 101동,41113,수원시 권선구, ,권선동,수원시 권선구
2004, , , ,"20,000",25,1,2021, , ,71.61,7,1011-10,올림픽공원대우미래사랑102동,41113,수원시 권선구, ,권선동,수원시 권선구
2004, , , ,"18,000",26,1,2021, , ,68.08,8,1011-14,올림픽공원대우미래사랑 101동,41113,수원시 권선구, ,권선동,수원시 권선구
2006, , , ,"24,600",27,1,2021, , ,92.0393,3,1013,지오베르크,41113,수원시 권선구, ,권선동,수원시 권선구
2004, , , ,"9,300",23,1,2021, , ,29.17,15,1013-1,세종그랑시아,41113,수원시 권선구, ,권선동,수원시 권선구
2006, , , ,"22,000",18,1,2021, , ,75.3043,14,1013,지오베르크,41113,수원시 권선구, ,권선동,수원시 권선구
2017, , , ,"9,100",27,1,2021, , ,24.48,5,1118-1,세종타운721,41113,수원시 권선구, ,금곡동,수원시 권선구
2019, , , ,"20,000",7,1,2021, , ,60.87,3,312-1,(312-1),41113,수원시 권선구, ,오목천동,수원시 권선구
2004, , , ,"18,000",8,1,2021, , ,71.61,2,1011-10,올림픽공원대우미래사랑102동,41113,수원시 권선구, ,권선동,수원시 권선구
2004, ,21.04.30,O,"20,200",7,1,2021, , ,71.61,13,1011-14,올림픽공원대우미래사랑 101동,41113,수원시 권선구, ,권선동,수원시 권선구
2006, , , ,"20,200",26,1,2021, , ,71.27,3,1013-4,한라비발디파크,41113,수원시 권선구, ,권선동,수원시 권선구
2006, , , ,"16,200",23,1,2021, , ,71.27,2,1013-4,한라비발디파크,41113,수원시 권선구, ,권선동,수원시 권선구
2004, , , ,"17,800",5,1,2021, , ,71.61,8,1011-14,올림픽공원대우미래사랑 101동,41113,수원시 권선구, ,권선동,수원시 권선구
2003, , , ,"6,300",28,1,2021, , ,31.095,4,1311-6,에스띠보보 1차,41113,수원시 권선구, ,권선동,수원시 권선구
2006, , , ,"24,200",18,1,2021, , ,82.6793,9,1013,지오베르크,41113,수원시 권선구, ,권선동,수원시 권선구
2004, , , ,"17,100",13,1,2021, , ,68.08,8,1011-10,올림픽공원대우미래사랑102동,41113,수원시 권선구, ,권선동,수원시 권선구
2004, , , ,"11,000",25,1,2021, , ,32.7,14,1013-1,세종그랑시아,41113,수원시 권선구, ,권선동,수원시 권선구
2004, , , ,"17,700",25,1,2021, , ,68.08,8,1011-10,올림픽공원대우미래사랑102동,41113,수원시 권선구, ,권선동,수원시 권선구
2004, , , ,"20,900",6,1,2021, , ,71.61,6,1011-10,올림픽공원대우미래사랑102동,41113,수원시 권선구, ,권선동,수원시 권선구
2006, ,21.02.03,O,"19,800",16,1,2021, , ,71.27,14,1013-4,한라비발디파크,41113,수원시 권선구, ,권선동,수원시 권선구
2004, ,21.02.22,O,"9,500",18,1,2021, , ,30,12,1023-2,이오스 오피스텔,41113,수원시 권선구, ,권선동,수원시 권선구
2005, , , ,"8,750",22,1,2021, , ,30.98,15,1010-1,청광 노블하임,41113,수원시 권선구, ,권선동,수원시 권선구
2004, , , ,"12,000",19,1,2021, , ,32.91,8,1013-1,세종그랑시아,41113,수원시 권선구, ,권선동,수원시 권선구
2004, , , ,"18,700",19,1,2021, , ,71.61,3,1011-14,올림픽공원대우미래사랑 101동,41113,수원시 권선구, ,권선동,수원시 권선구
2004, , , ,"20,000",10,1,2021, , ,71.61,13,1011-14,올림픽공원대우미래사랑 101동,41113,수원시 권선구, ,권선동,수원시 권선구
2004, , , ,"20,000",6,1,2021, , ,71.61,6,1011-10,올림픽공원대우미래사랑102동,41113,수원시 권선구, ,권선동,수원시 권선구
2004, , , ,"19,700",17,1,2021, , ,71.61,8,1011-10,올림픽공원대우미래사랑102동,41113,수원시 권선구, ,권선동,수원시 권선구
2006, , , ,"20,300",14,1,2021, , ,71.27,9,1013-4,한라비발디파크,41113,수원시 권선구, ,권선동,수원시 권선구
2006, , , ,"22,000",14,1,2021, , ,87.06,13,1013-4,한라비발디파크,41113,수원시 권선구, ,권선동,수원시 권선구
2004, ,21.01.21,O,"12,000",13,1,2021, , ,32.91,8,1013-1,세종그랑시아,41113,수원시 권선구, ,권선동,수원시 권선구
2017, , , ,"15,429",4,1,2021, , ,50.57,4,1113-5,로얄팰리스,41113,수원시 권선구, ,금곡동,수원시 권선구
2004, , , ,"9,300",12,1,2021, , ,29.17,12,1013-1,세종그랑시아,41113,수원시 권선구, ,권선동,수원시 권선구
2004, , , ,"19,000",2,1,2021, , ,71.61,11,1011-10,올림픽공원대우미래사랑102동,41113,수원시 권선구, ,권선동,수원시 권선구
2004, , , ,"18,500",9,1,2021, , ,71.61,4,1011-10,올림픽공원대우미래사랑102동,41113,수원시 권선구, ,권선동,수원시 권선구
2020, , , ,"17,338",13,1,2021, , ,27.818,7,1113-1,수원 호매실 동광뷰웰,41113,수원시 권선구, ,금곡동,수원시 권선구
2006, ,21.04.19,O,"22,000",10,1,2021, , ,71.27,3,1013-4,한라비발디파크,41113,수원시 권선구, ,권선동,수원시 권선구
2004, , , ,"17,600",6,1,2021, , ,68.08,8,1011-10,올림픽공원대우미래사랑102동,41113,수원시 권선구, ,권선동,수원시 권선구
2004, , , ,"18,000",6,1,2021, , ,58.55,6,1011-14,올림픽공원대우미래사랑 101동,41113,수원시 권선구, ,권선동,수원시 권선구
2004, , , ,"18,000",7,1,2021, , ,71.61,2,1011-14,올림픽공원대우미래사랑 101동,41113,수원시 권선구, ,권선동,수원시 권선구
2004, ,21.01.11,O,"18,000",6,1,2021, , ,58.55,6,1011-14,올림픽공원대우미래사랑 101동,41113,수원시 권선구, ,권선동,수원시 권선구
2018, , , ,"20,000",6,1,2021, , ,53.49,7,1125-3,세종 헤르메스 오피스텔,41113,수원시 권선구, ,금곡동,수원시 권선구
2006, , , ,"30,500",28,1,2021, , ,107.92,16,1116-5,인계동 삼환 아르누보파크,41115,수원시 팔달구, ,인계동,수원시 팔달구
2006, , , ,"24,000",28,1,2021, , ,82.34,12,1120,캐슬타워,41115,수원시 팔달구, ,인계동,수원시 팔달구
2008, , , ,"20,800",20,1,2021, , ,84.854,7,754-17,다림베스트빌,41115,수원시 팔달구, ,인계동,수원시 팔달구
2007, , , ,"27,000",16,1,2021, , ,107.45,11,1134-3,동양파라곤 1단지,41115,수원시 팔달구, ,인계동,수원시 팔달구
2006, , , ,"25,500",17,1,2021, , ,66.2664,6,1124-1,수원인계자이오피스텔,41115,수원시 팔달구, ,인계동,수원시 팔달구
2004, , , ,"6,100",29,1,2021, , ,22.387,9,1119,인계샤르망오피스텔,41115,수원시 팔달구, ,인계동,수원시 팔달구
2008, , , ,"17,900",27,1,2021, , ,60.345,14,1114-9,(1114-9),41115,수원시 팔달구, ,인계동,수원시 팔달구
2006, , , ,"17,500",22,1,2021, , ,60.71,8,1120,캐슬타워,41115,수원시 팔달구, ,인계동,수원시 팔달구
2006, , , ,"38,000",27,1,2021, , ,118.25,10,1116-5,인계동 삼환 아르누보파크,41115,수원시 팔달구, ,인계동,수원시 팔달구
2003, , , ,"8,500",28,1,2021, , ,30.62,12,1135-1,벨로시티,41115,수원시 팔달구, ,인계동,수원시 팔달구
2006, , , ,"17,300",22,1,2021, , ,60.71,11,1120,캐슬타워,41115,수원시 팔달구, ,인계동,수원시 팔달구
2006, , , ,"23,000",16,1,2021, , ,84.07,4,1120,캐슬타워,41115,수원시 팔달구, ,인계동,수원시 팔달구
2006, , , ,"13,000",31,1,2021, , ,55.4,9,40-3,대주파크빌,41115,수원시 팔달구, ,매산로2가,수원시 팔달구
2006, , , ,"23,000",12,1,2021, , ,91.437,13,206,한라시그마팰리스,41115,수원시 팔달구, ,인계동,수원시 팔달구
2006, , , ,"24,000",16,1,2021, , ,82.34,4,1120,캐슬타워,41115,수원시 팔달구, ,인계동,수원시 팔달구
2006, , , ,"26,000",9,1,2021, , ,66.2664,14,1124-1,수원인계자이오피스텔,41115,수원시 팔달구, ,인계동,수원시 팔달구
2006, , , ,"22,800",13,1,2021, , ,84.07,7,1120,캐슬타워,41115,수원시 팔달구, ,인계동,수원시 팔달구
2006, , , ,"27,000",14,1,2021, , ,82.5722,10,1124-1,수원인계자이오피스텔,41115,수원시 팔달구, ,인계동,수원시 팔달구
2007, ,21.02.16,O,"27,000",16,1,2021, , ,107.45,11,1134-3,동양파라곤 1단지,41115,수원시 팔달구, ,인계동,수원시 팔달구
2006, , , ,"26,000",9,1,2021, , ,66.2664,3,1124-1,수원인계자이오피스텔,41115,수원시 팔달구, ,인계동,수원시 팔달구
2004, , , ,"15,100",15,1,2021, , ,60.06,3,1131-1,마이홈 오피스텔,41115,수원시 팔달구, ,인계동,수원시 팔달구
2004, , , ,"8,400",29,1,2021, , ,25.956,5,1119,인계샤르망오피스텔,41115,수원시 팔달구, ,인계동,수원시 팔달구
2008, , , ,"27,000",9,1,2021, , ,94.64,7,1116-3,한화 꿈에그린 효원 101동,41115,수원시 팔달구, ,인계동,수원시 팔달구
2017, , , ,"19,800",18,1,2021, , ,83.42,2,142-11,삼성캐슬,41115,수원시 팔달구, ,교동,수원시 팔달구
2008, , , ,"22,700",5,1,2021, , ,82.92,6,1114-9,(1114-9),41115,수원시 팔달구, ,인계동,수원시 팔달구
2005, , , ,"24,000",21,1,2021, , ,79.6,8,1046-13,에스팝타워,41115,수원시 팔달구, ,인계동,수원시 팔달구
2007, , , ,"30,000",14,1,2021, , ,119.19,15,1134-11,동양파라곤 2단지,41115,수원시 팔달구, ,인계동,수원시 팔달구
2006, , , ,"25,000",4,1,2021, , ,112.315,5,206,한라시그마팰리스,41115,수원시 팔달구, ,인계동,수원시 팔달구
2006, , , ,"16,800",2,1,2021, , ,61.8464,13,206,한라시그마팰리스,41115,수원시 팔달구, ,인계동,수원시 팔달구
2005, , , ,"7,900",12,1,2021, , ,31.0275,8,939,신동아 파스텔,41115,수원시 팔달구, ,인계동,수원시 팔달구
2005, , , ,"8,000",2,1,2021, , ,31.0275,10,939,신동아 파스텔,41115,수원시 팔달구, ,인계동,수원시 팔달구
2007, , , ,"22,000",15,1,2021, , ,96.95,9,1134-11,동양파라곤 2단지,41115,수원시 팔달구, ,인계동,수원시 팔달구
2007, , , ,"27,000",9,1,2021, , ,107.45,6,1134-11,동양파라곤 2단지,41115,수원시 팔달구, ,인계동,수원시 팔달구
