,건축년도,보증금.만원.,거래금액.만원.,전세가율,주택유형,본번,부번,층,도로명,단지명,전용면적,시군구
1,2019,30620,42100,72.73159145,아파트,1,10,9,송정로104번길 21,비바체하임,62.68,경기도 수원시 장안구 정자동
2,2019,36000,43000,83.72093023,아파트,1,10,14,송정로104번길 21,비바체하임,62.68,경기도 수원시 장안구 정자동
3,2019,29000,41500,69.87951807,아파트,1,10,17,송정로104번길 21,비바체하임,65.1,경기도 수원시 장안구 정자동
4,2019,31666.66667,43300,73.13317937,아파트,1,10,19,송정로104번길 21,비바체하임,62.68,경기도 수원시 장안구 정자동
5,1997,21666.66667,32000,67.70833333,아파트,4,20,1,광교산로 148,신미주,84.89,경기도 수원시 장안구 연무동
6,1997,17000,25000,68,아파트,4,20,2,광교산로 148,신미주,59.94,경기도 수원시 장안구 연무동
7,1997,29000,34125,84.98168498,아파트,4,20,2,광교산로 148,신미주,84.89,경기도 수원시 장안구 연무동
8,1997,25666.66667,40250,63.76811594,아파트,4,20,8,광교산로 148,신미주,84.89,경기도 수원시 장안구 연무동
9,1997,22500,41500,54.21686747,아파트,4,20,11,광교산로 148,신미주,84.89,경기도 수원시 장안구 연무동
10,1997,20000,27225,73.46189164,아파트,4,20,12,광교산로 148,신미주,59.94,경기도 수원시 장안구 연무동
11,1997,21750,26650,81.61350844,아파트,4,20,13,광교산로 148,신미주,59.94,경기도 수원시 장안구 연무동
12,1997,27250,34250,79.5620438,아파트,4,20,13,광교산로 148,신미주,84.89,경기도 수원시 장안구 연무동
13,1997,20000,35500,56.33802817,아파트,4,20,14,광교산로 148,신미주,84.89,경기도 수원시 장안구 연무동
14,1997,22000,30000,73.33333333,아파트,4,20,19,광교산로 148,신미주,84.89,경기도 수원시 장안구 연무동
15,2000,18000,23850,75.47169811,아파트,5,4,3,매송고색로 751-17,상우,59.86,경기도 수원시 권선구 고색동
16,2000,19250,32200,59.7826087,아파트,5,4,9,매송고색로 751-17,상우,84.87,경기도 수원시 권선구 고색동
17,2000,20666.66667,32000,64.58333333,아파트,5,4,10,매송고색로 751-17,상우,84.87,경기도 수원시 권선구 고색동
18,2000,7000,20500,34.14634146,아파트,5,4,3,금호로 248,현대탑월드,59.4,경기도 수원시 권선구 탑동
19,2000,25000,31433.33333,79.53340403,아파트,5,4,4,금호로 248,현대탑월드,83.7,경기도 수원시 권선구 탑동
20,2000,10000,19000,52.63157895,아파트,5,4,9,금호로 248,현대탑월드,59.4,경기도 수원시 권선구 탑동
21,1986,12750,17033.33333,74.85322896,아파트,7,114,1,서둔로 12,연안,44.57,경기도 수원시 권선구 고색동
22,1986,9000,14550,61.8556701,아파트,7,114,1,서둔로 12,연안,44.59,경기도 수원시 권선구 고색동
23,1986,11000,18020,61.04328524,아파트,7,114,2,서둔로 12,연안,44.57,경기도 수원시 권선구 고색동
24,1986,11150,15537.5,71.76186645,아파트,7,114,2,서둔로 12,연안,44.59,경기도 수원시 권선구 고색동
25,1986,12800,16338.33333,78.34336428,아파트,7,114,3,서둔로 12,연안,44.57,경기도 수원시 권선구 고색동
26,1986,11290,15825,71.34281201,아파트,7,114,3,서둔로 12,연안,44.59,경기도 수원시 권선구 고색동
