,dealAmount,deposit,전세가율,buildYear,excluUseAr,floor,jibun,mhouseNm,sggCd,지역구명.x,umdNm.x
1,20000,500,2.5,1977,49.39,2,24,매산,41115,수원시 팔달구,매산로1가
2,20000,10000,50,1977,49.39,2,24,매산,41115,수원시 팔달구,매산로1가
3,20000,5000,25,1977,49.39,2,24,매산,41115,수원시 팔달구,매산로1가
4,24700,11000,44.53441296,1977,49.39,3,24,매산,41115,수원시 팔달구,매산로1가
5,24700,1000,4.048582996,1977,49.39,3,24,매산,41115,수원시 팔달구,매산로1가
6,24700,10000,40.48582996,1977,49.39,3,24,매산,41115,수원시 팔달구,매산로1가
7,20750,11000,53.01204819,1977,49.39,3,24,매산,41115,수원시 팔달구,매산로1가
8,20750,1000,4.819277108,1977,49.39,3,24,매산,41115,수원시 팔달구,매산로1가
9,20750,10000,48.19277108,1977,49.39,3,24,매산,41115,수원시 팔달구,매산로1가
10,21500,9000,41.86046512,1977,49.39,4,24,매산,41115,수원시 팔달구,매산로1가
11,21500,10000,46.51162791,1977,49.39,4,24,매산,41115,수원시 팔달구,매산로1가
12,21500,11000,51.1627907,1977,49.39,4,24,매산,41115,수원시 팔달구,매산로1가
13,22500,1000,4.444444444,1977,50.05,1,24,매산,41115,수원시 팔달구,매산로1가
14,21500,1000,4.651162791,1977,50.05,2,24,매산,41115,수원시 팔달구,매산로1가
15,20000,12000,60,1977,50.05,4,24,매산,41115,수원시 팔달구,매산로1가
16,39500,1000,2.53164557,1977,69.29,2,24,매산,41115,수원시 팔달구,매산로1가
17,30000,1000,3.333333333,1977,69.29,2,24,매산,41115,수원시 팔달구,매산로1가
18,36500,1000,2.739726027,1977,69.29,2,24,매산,41115,수원시 팔달구,매산로1가
19,27500,500,1.818181818,1977,69.29,3,24,매산,41115,수원시 팔달구,매산로1가
20,27500,3000,10.90909091,1977,69.29,3,24,매산,41115,수원시 팔달구,매산로1가
21,25000,15000,60,1977,69.29,4,24,매산,41115,수원시 팔달구,매산로1가
22,25000,1000,4,1977,69.29,4,24,매산,41115,수원시 팔달구,매산로1가
23,9233.333333,7600,82.31046931,1978,42.74,1,Jun-45,수정,41111,수원시 장안구,정자동
24,9233.333333,7000,75.81227437,1978,42.74,1,Jun-45,수정,41111,수원시 장안구,정자동
25,9233.333333,8000,86.64259928,1978,42.74,1,Jun-45,수정,41111,수원시 장안구,정자동
26,9233.333333,8500,92.05776173,1978,42.74,1,Jun-45,수정,41111,수원시 장안구,정자동
27,9900,500,5.050505051,1978,46.41,1,45-46,명동,41111,수원시 장안구,정자동
28,10250,500,4.87804878,1978,46.41,1,45-46,명동,41111,수원시 장안구,정자동
29,8000,500,6.25,1978,46.41,1,45-46,명동,41111,수원시 장안구,정자동
30,13300,1000,7.518796992,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동
31,13300,10000,75.18796992,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동
32,13300,4000,30.07518797,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동
33,13300,9500,71.42857143,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동
34,13300,700,5.263157895,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동
35,13300,7500,56.39097744,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동
36,12700,1000,7.874015748,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동
37,12700,10000,78.74015748,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동
38,12700,4000,31.49606299,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동
39,12700,9500,74.80314961,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동
40,12700,700,5.511811024,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동
41,12700,7500,59.05511811,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동
42,9500,1000,10.52631579,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동
43,9500,10000,105.2631579,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동
44,9500,4000,42.10526316,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동
45,9500,9500,100,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동
46,9500,700,7.368421053,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동
47,9500,7500,78.94736842,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동
48,17100,11000,64.32748538,1978,51.93,1,125-3,고려,41113,수원시 권선구,세류동
49,17100,12000,70.1754386,1978,51.93,1,125-3,고려,41113,수원시 권선구,세류동
50,16150,12000,74.30340557,1978,51.93,2,125-3,고려,41113,수원시 권선구,세류동
51,16150,13000,80.49535604,1978,51.93,2,125-3,고려,41113,수원시 권선구,세류동
52,11100,500,4.504504505,1978,53.55,1,07월 07일,삼부,41111,수원시 장안구,정자동
53,19285,1000,5.185377236,1978,54.02,2,05월 24일,연무,41111,수원시 장안구,연무동
54,14500,11000,75.86206897,1978,54.55,1,07월 07일,삼부,41111,수원시 장안구,정자동
55,10800,9000,83.33333333,1978,54.55,2,07월 07일,삼부,41111,수원시 장안구,정자동
56,10800,9500,87.96296296,1978,54.55,2,07월 07일,삼부,41111,수원시 장안구,정자동
57,15200,13000,85.52631579,1978,55.44,1,339-1,동양,41111,수원시 장안구,영화동
58,15200,1000,6.578947368,1978,55.44,1,339-1,동양,41111,수원시 장안구,영화동
59,15200,5000,32.89473684,1978,55.44,1,339-1,동양,41111,수원시 장안구,영화동
60,15200,10900,71.71052632,1978,55.44,1,339-1,동양,41111,수원시 장안구,영화동
61,13800,0,0,1978,55.44,2,339-1,동양,41111,수원시 장안구,영화동
62,13800,1000,7.246376812,1978,55.44,2,339-1,동양,41111,수원시 장안구,영화동
63,17200,6500,37.79069767,1978,56.56,1,819-2,금성연립,41115,수원시 팔달구,인계동
64,17200,11000,63.95348837,1978,56.56,1,819-2,금성연립,41115,수원시 팔달구,인계동
65,17200,11500,66.86046512,1978,56.56,1,819-2,금성연립,41115,수원시 팔달구,인계동
66,16014.28571,10000,62.44424621,1978,56.56,2,819-2,금성연립,41115,수원시 팔달구,인계동
67,16014.28571,12000,74.93309545,1978,56.56,2,819-2,금성연립,41115,수원시 팔달구,인계동
68,16014.28571,1000,6.244424621,1978,56.56,2,819-2,금성연립,41115,수원시 팔달구,인계동
69,16014.28571,500,3.12221231,1978,56.56,2,819-2,금성연립,41115,수원시 팔달구,인계동
70,16014.28571,10500,65.56645852,1978,56.56,2,819-2,금성연립,41115,수원시 팔달구,인계동
71,13000,11600,89.23076923,1978,59.83,1,563-4,현대(563-4),41113,수원시 권선구,세류동
72,13000,9500,73.07692308,1978,59.83,1,563-4,현대(563-4),41113,수원시 권선구,세류동
73,9000,11600,128.8888889,1978,59.83,1,563-4,현대(563-4),41113,수원시 권선구,세류동
74,9000,9500,105.5555556,1978,59.83,1,563-4,현대(563-4),41113,수원시 권선구,세류동
75,13300,1500,11.27819549,1978,59.83,2,563-4,현대(563-4),41113,수원시 권선구,세류동
76,13300,10000,75.18796992,1978,59.83,2,563-4,현대(563-4),41113,수원시 권선구,세류동
77,14000,1500,10.71428571,1978,59.83,2,563-4,현대(563-4),41113,수원시 권선구,세류동
78,14000,10000,71.42857143,1978,59.83,2,563-4,현대(563-4),41113,수원시 권선구,세류동
79,11800,10000,84.74576271,1978,63.07,5,105-8,소라,41115,수원시 팔달구,남수동
80,16500,12000,72.72727273,1978,75.76,1,563-4,현대(563-4),41113,수원시 권선구,세류동
81,32000,9000,28.125,1979,49.19,2,39-32,서호연립,41113,수원시 권선구,서둔동
82,32000,10000,31.25,1979,49.19,2,39-32,서호연립,41113,수원시 권선구,서둔동
83,17000,10000,58.82352941,1979,49.45,1,39-32,서호연립,41113,수원시 권선구,서둔동
84,19700,10000,50.76142132,1979,49.45,1,39-32,서호연립,41113,수원시 권선구,서둔동
85,21500,13000,60.46511628,1979,50.05,1,17-44,새마을연립가~다동,41113,수원시 권선구,서둔동
86,12600,500,3.968253968,1979,52.56,2,423-2,신흥,41111,수원시 장안구,영화동
87,12600,8500,67.46031746,1979,52.56,2,423-2,신흥,41111,수원시 장안구,영화동
88,15000,11000,73.33333333,1979,53.32,1,39-32,서호연립,41113,수원시 권선구,서둔동
89,11000,18000,163.6363636,1979,53.98,1,Jun-72,수성,41111,수원시 장안구,정자동
90,10900,10000,91.74311927,1979,54.02,2,Jun-72,수성,41111,수원시 장안구,정자동
91,10900,4000,36.69724771,1979,54.02,2,Jun-72,수성,41111,수원시 장안구,정자동
92,10900,12000,110.0917431,1979,54.02,2,Jun-72,수성,41111,수원시 장안구,정자동
93,12050,13300,110.373444,1979,54.02,3,Jun-72,수성,41111,수원시 장안구,정자동
94,12050,11000,91.28630705,1979,54.02,3,Jun-72,수성,41111,수원시 장안구,정자동
95,12050,9800,81.32780083,1979,54.02,3,Jun-72,수성,41111,수원시 장안구,정자동
96,15000,1000,6.666666667,1979,54.71,1,111,신풍(111),41115,수원시 팔달구,신풍동
97,15000,11000,73.33333333,1979,54.71,1,111,신풍(111),41115,수원시 팔달구,신풍동
98,15000,2000,13.33333333,1979,54.71,1,111,신풍(111),41115,수원시 팔달구,신풍동
99,11400,12000,105.2631579,1979,54.71,2,111,신풍(111),41115,수원시 팔달구,신풍동
100,11400,1000,8.771929825,1979,54.71,2,111,신풍(111),41115,수원시 팔달구,신풍동
101,11400,9200,80.70175439,1979,54.71,2,111,신풍(111),41115,수원시 팔달구,신풍동
102,11400,12500,109.6491228,1979,54.71,2,111,신풍(111),41115,수원시 팔달구,신풍동
103,11400,11000,96.49122807,1979,54.71,2,111,신풍(111),41115,수원시 팔달구,신풍동
104,14400,11000,76.38888889,1979,55.14,2,122-110,칠성,41115,수원시 팔달구,매향동
105,20000,7000,35,1979,55.9,1,352-1,"송도연립(가,나동)",41111,수원시 장안구,송죽동
106,20000,1000,5,1979,55.9,1,352-1,"송도연립(가,나동)",41111,수원시 장안구,송죽동
107,18950,13000,68.60158311,1979,55.9,2,352-1,"송도연립(가,나동)",41111,수원시 장안구,송죽동
108,18950,1000,5.277044855,1979,55.9,2,352-1,"송도연립(가,나동)",41111,수원시 장안구,송죽동
109,18950,14000,73.87862797,1979,55.9,2,352-1,"송도연립(가,나동)",41111,수원시 장안구,송죽동
110,12000,2000,16.66666667,1979,56.13,1,Aug-44,삼화,41111,수원시 장안구,정자동
111,12000,13000,108.3333333,1979,56.13,1,Aug-44,삼화,41111,수원시 장안구,정자동
112,12000,1000,8.333333333,1979,56.13,1,Aug-44,삼화,41111,수원시 장안구,정자동
113,15000,2000,13.33333333,1979,56.13,2,Aug-44,삼화,41111,수원시 장안구,정자동
114,15000,11500,76.66666667,1979,56.13,2,Aug-44,삼화,41111,수원시 장안구,정자동
115,15000,11800,78.66666667,1979,56.13,2,Aug-44,삼화,41111,수원시 장안구,정자동
116,11937.5,5000,41.88481675,1979,56.73,1,589-1,승진,41111,수원시 장안구,파장동
117,11937.5,1000,8.376963351,1979,56.73,1,589-1,승진,41111,수원시 장안구,파장동
118,11733.33333,8500,72.44318182,1979,56.73,2,589-1,승진,41111,수원시 장안구,파장동
119,11733.33333,800,6.818181818,1979,56.73,2,589-1,승진,41111,수원시 장안구,파장동
120,10650,11000,103.286385,1979,58.25,1,122-110,칠성,41115,수원시 팔달구,매향동
121,10650,9000,84.50704225,1979,58.25,1,122-110,칠성,41115,수원시 팔달구,매향동
122,42500,4000,9.411764706,1979,58.45,2,172-8,태광(1~4동),41117,수원시 영통구,매탄동
123,42500,6000,14.11764706,1979,58.45,2,172-8,태광(1~4동),41117,수원시 영통구,매탄동
124,10150,9000,88.66995074,1979,60.56,1,06월 27일,칠성,41115,수원시 팔달구,장안동
125,17000,10500,61.76470588,1979,60.69,1,391-1,"송죽(A,B)",41111,수원시 장안구,송죽동
126,17000,12000,70.58823529,1979,60.69,1,391-1,"송죽(A,B)",41111,수원시 장안구,송죽동
127,17000,11000,64.70588235,1979,60.69,1,391-1,"송죽(A,B)",41111,수원시 장안구,송죽동
128,48100,1000,2.079002079,1979,62.18,1,172-8,태광(1~4동),41117,수원시 영통구,매탄동
129,48100,0,0,1979,62.18,1,172-8,태광(1~4동),41117,수원시 영통구,매탄동
130,48100,8000,16.63201663,1979,62.18,1,172-8,태광(1~4동),41117,수원시 영통구,매탄동
131,48100,9500,19.75051975,1979,62.18,1,172-8,태광(1~4동),41117,수원시 영통구,매탄동
132,53750,8000,14.88372093,1979,62.18,2,172-8,태광(1~4동),41117,수원시 영통구,매탄동
133,53750,5000,9.302325581,1979,62.18,2,172-8,태광(1~4동),41117,수원시 영통구,매탄동
134,53750,6500,12.09302326,1979,62.18,2,172-8,태광(1~4동),41117,수원시 영통구,매탄동
135,56300,8000,14.20959147,1979,62.18,2,172-8,태광(1~4동),41117,수원시 영통구,매탄동
136,56300,5000,8.880994671,1979,62.18,2,172-8,태광(1~4동),41117,수원시 영통구,매탄동
137,56300,6500,11.54529307,1979,62.18,2,172-8,태광(1~4동),41117,수원시 영통구,매탄동
138,16000,11000,68.75,1979,64.46,2,391-1,"송죽(A,B)",41111,수원시 장안구,송죽동
139,15900,14000,88.05031447,1979,64.79,1,461-5,세일연립,41113,수원시 권선구,세류동
140,17000,16000,94.11764706,1979,66.21,1,Jun-42,목단,41111,수원시 장안구,정자동
141,17000,2000,11.76470588,1979,66.21,1,Jun-42,목단,41111,수원시 장안구,정자동
142,17000,3000,17.64705882,1979,66.21,1,Jun-42,목단,41111,수원시 장안구,정자동
143,17000,11000,64.70588235,1979,66.21,1,Jun-42,목단,41111,수원시 장안구,정자동
144,17000,5000,29.41176471,1979,66.21,1,Jun-42,목단,41111,수원시 장안구,정자동
145,17000,1000,5.882352941,1979,66.21,1,Jun-42,목단,41111,수원시 장안구,정자동
146,17666.66667,16000,90.56603774,1979,66.21,1,Jun-42,목단,41111,수원시 장안구,정자동
147,17666.66667,2000,11.32075472,1979,66.21,1,Jun-42,목단,41111,수원시 장안구,정자동
148,17666.66667,3000,16.98113208,1979,66.21,1,Jun-42,목단,41111,수원시 장안구,정자동
149,17666.66667,11000,62.26415094,1979,66.21,1,Jun-42,목단,41111,수원시 장안구,정자동
150,17666.66667,5000,28.30188679,1979,66.21,1,Jun-42,목단,41111,수원시 장안구,정자동
151,17666.66667,1000,5.660377358,1979,66.21,1,Jun-42,목단,41111,수원시 장안구,정자동
152,17800,12000,67.41573034,1979,66.21,2,Jun-42,목단,41111,수원시 장안구,정자동
153,17800,11000,61.79775281,1979,66.21,2,Jun-42,목단,41111,수원시 장안구,정자동
154,17800,16000,89.88764045,1979,66.21,2,Jun-42,목단,41111,수원시 장안구,정자동
155,17800,10000,56.17977528,1979,66.21,2,Jun-42,목단,41111,수원시 장안구,정자동
156,17800,2000,11.23595506,1979,66.21,2,Jun-42,목단,41111,수원시 장안구,정자동
157,18000,15000,83.33333333,1979,66.22,2,Jun-42,목단,41111,수원시 장안구,정자동
158,18000,13500,75,1979,66.22,2,Jun-42,목단,41111,수원시 장안구,정자동
159,12212.5,4500,36.84749232,1980,37.92,1,360-3,세류(360-3),41113,수원시 권선구,세류동
160,12212.5,8000,65.50665302,1980,37.92,1,360-3,세류(360-3),41113,수원시 권선구,세류동
161,12212.5,11000,90.0716479,1980,37.92,1,360-3,세류(360-3),41113,수원시 권선구,세류동
162,10345,11000,106.3315611,1980,37.92,2,360-3,세류(360-3),41113,수원시 권선구,세류동
163,10345,500,4.833252779,1980,37.92,2,360-3,세류(360-3),41113,수원시 권선구,세류동
164,12750,7000,54.90196078,1980,40,1,979-2,삼덕(979-2),41113,수원시 권선구,세류동
165,12750,8100,63.52941176,1980,40,1,979-2,삼덕(979-2),41113,수원시 권선구,세류동
166,12750,8000,62.74509804,1980,40,1,979-2,삼덕(979-2),41113,수원시 권선구,세류동
167,11880,5000,42.08754209,1980,40,2,979-2,삼덕(979-2),41113,수원시 권선구,세류동
168,11880,6000,50.50505051,1980,40,2,979-2,삼덕(979-2),41113,수원시 권선구,세류동
169,11880,5500,46.2962963,1980,40,2,979-2,삼덕(979-2),41113,수원시 권선구,세류동
170,11880,8500,71.54882155,1980,40,2,979-2,삼덕(979-2),41113,수원시 권선구,세류동
171,11880,10000,84.17508418,1980,40,2,979-2,삼덕(979-2),41113,수원시 권선구,세류동
172,11880,8000,67.34006734,1980,40,2,979-2,삼덕(979-2),41113,수원시 권선구,세류동
173,11880,9000,75.75757576,1980,40,2,979-2,삼덕(979-2),41113,수원시 권선구,세류동
174,11880,1000,8.417508418,1980,40,2,979-2,삼덕(979-2),41113,수원시 권선구,세류동
175,9300,7400,79.56989247,1980,40.89,2,1004-1,삼원연립(1004-1),41113,수원시 권선구,세류동
176,9300,7000,75.2688172,1980,40.89,2,1004-1,삼원연립(1004-1),41113,수원시 권선구,세류동
177,10600,6700,63.20754717,1980,40.93,1,1004-1,삼원연립(1004-1),41113,수원시 권선구,세류동
178,10600,7900,74.52830189,1980,40.93,1,1004-1,삼원연립(1004-1),41113,수원시 권선구,세류동
179,10600,5000,47.16981132,1980,40.93,1,1004-1,삼원연립(1004-1),41113,수원시 권선구,세류동
180,10600,8500,80.18867925,1980,40.93,1,1004-1,삼원연립(1004-1),41113,수원시 권선구,세류동
181,10600,100,0.943396226,1980,40.93,1,1004-1,삼원연립(1004-1),41113,수원시 권선구,세류동
182,10600,8000,75.47169811,1980,40.93,1,1004-1,삼원연립(1004-1),41113,수원시 권선구,세류동
183,10600,500,4.716981132,1980,40.93,1,1004-1,삼원연립(1004-1),41113,수원시 권선구,세류동
184,9912.5,300,3.026481715,1980,40.93,2,1004-1,삼원연립(1004-1),41113,수원시 권선구,세류동
185,9912.5,5000,50.44136192,1980,40.93,2,1004-1,삼원연립(1004-1),41113,수원시 권선구,세류동
