,건축년도,주택유형,본번,부번,층,도로명,단지명,전용면적...,시군구
1,2019,아파트,1,10,9,송정로104번길 21,비바체하임,62.68,경기도 수원시 장안구 정자동
2,2019,아파트,1,10,14,송정로104번길 21,비바체하임,62.68,경기도 수원시 장안구 정자동
3,2019,아파트,1,10,17,송정로104번길 21,비바체하임,65.1,경기도 수원시 장안구 정자동
4,2019,아파트,1,10,19,송정로104번길 21,비바체하임,62.68,경기도 수원시 장안구 정자동
5,1997,아파트,4,20,1,광교산로 148,신미주,84.89,경기도 수원시 장안구 연무동
6,1997,아파트,4,20,2,광교산로 148,신미주,59.94,경기도 수원시 장안구 연무동
7,1997,아파트,4,20,2,광교산로 148,신미주,84.89,경기도 수원시 장안구 연무동
8,1997,아파트,4,20,8,광교산로 148,신미주,84.89,경기도 수원시 장안구 연무동
9,1997,아파트,4,20,11,광교산로 148,신미주,84.89,경기도 수원시 장안구 연무동
10,1997,아파트,4,20,12,광교산로 148,신미주,59.94,경기도 수원시 장안구 연무동
11,1997,아파트,4,20,13,광교산로 148,신미주,59.94,경기도 수원시 장안구 연무동
12,1997,아파트,4,20,13,광교산로 148,신미주,84.89,경기도 수원시 장안구 연무동
13,1997,아파트,4,20,14,광교산로 148,신미주,84.89,경기도 수원시 장안구 연무동
14,1997,아파트,4,20,19,광교산로 148,신미주,84.89,경기도 수원시 장안구 연무동
15,2000,아파트,5,4,3,매송고색로 751-17,상우,59.86,경기도 수원시 권선구 고색동
16,2000,아파트,5,4,9,매송고색로 751-17,상우,84.87,경기도 수원시 권선구 고색동
17,2000,아파트,5,4,10,매송고색로 751-17,상우,84.87,경기도 수원시 권선구 고색동
18,2000,아파트,5,4,3,금호로 248,현대탑월드,59.4,경기도 수원시 권선구 탑동
19,2000,아파트,5,4,4,금호로 248,현대탑월드,83.7,경기도 수원시 권선구 탑동
20,2000,아파트,5,4,9,금호로 248,현대탑월드,59.4,경기도 수원시 권선구 탑동
21,1986,아파트,7,114,1,서둔로 12,연안,44.57,경기도 수원시 권선구 고색동
22,1986,아파트,7,114,1,서둔로 12,연안,44.59,경기도 수원시 권선구 고색동
23,1986,아파트,7,114,2,서둔로 12,연안,44.57,경기도 수원시 권선구 고색동
24,1986,아파트,7,114,2,서둔로 12,연안,44.59,경기도 수원시 권선구 고색동
25,1986,아파트,7,114,3,서둔로 12,연안,44.57,경기도 수원시 권선구 고색동
26,1986,아파트,7,114,3,서둔로 12,연안,44.59,경기도 수원시 권선구 고색동
27,1986,아파트,7,114,4,서둔로 12,연안,44.57,경기도 수원시 권선구 고색동
28,1986,아파트,7,114,4,서둔로 12,연안,44.59,경기도 수원시 권선구 고색동
29,1986,아파트,7,114,5,서둔로 12,연안,44.59,경기도 수원시 권선구 고색동
30,1994,아파트,9,2,8,송정로 96,벽산그랜드코아,78.86,경기도 수원시 장안구 정자동
31,1994,아파트,9,2,13,송정로 96,벽산그랜드코아,66.17,경기도 수원시 장안구 정자동
32,1994,아파트,9,2,14,송정로 96,벽산그랜드코아,66.17,경기도 수원시 장안구 정자동
33,2003,아파트,9,4,3,창훈로80번길 50,효준,84.12,경기도 수원시 장안구 연무동
34,2003,아파트,9,4,4,창훈로80번길 50,효준,75.25,경기도 수원시 장안구 연무동
35,1999,아파트,10,0,2,창훈로60번길 31,성원,33.27,경기도 수원시 장안구 연무동
36,1999,아파트,10,0,6,창훈로60번길 31,성원,33.27,경기도 수원시 장안구 연무동
37,1999,아파트,10,0,7,창훈로60번길 31,성원,33.27,경기도 수원시 장안구 연무동
