,건축년도,보증금.만원.,거래금액.만원.,전세가율,주택유형,본번,부번,층,도로명,단지명,전용면적,시군구,동,편차,전용면적_그룹,평균 전세가율
1,2019,30620,42100,72.73159145,아파트,1,10,9,송정로104번길 21,비바체하임,62.68,경기도 수원시 장안구 정자동,정자동,11.60285096,대형,61.12874049
2,2019,36000,43000,83.72093023,아파트,1,10,14,송정로104번길 21,비바체하임,62.68,경기도 수원시 장안구 정자동,정자동,22.59218974,대형,61.12874049
3,2019,29000,41500,69.87951807,아파트,1,10,17,송정로104번길 21,비바체하임,65.1,경기도 수원시 장안구 정자동,정자동,8.750777579,대형,61.12874049
4,2019,31666.66667,43300,73.13317937,아파트,1,10,19,송정로104번길 21,비바체하임,62.68,경기도 수원시 장안구 정자동,정자동,12.00443888,대형,61.12874049
5,1997,21666.66667,32000,67.70833333,아파트,4,20,1,광교산로 148,신미주,84.89,경기도 수원시 장안구 연무동,연무동,-2.961098589,대형,70.66943192
6,1997,17000,25000,68,아파트,4,20,2,광교산로 148,신미주,59.94,경기도 수원시 장안구 연무동,연무동,-7.350828317,중형,75.35082832
7,1997,29000,34125,84.98168498,아파트,4,20,2,광교산로 148,신미주,84.89,경기도 수원시 장안구 연무동,연무동,14.31225306,대형,70.66943192
8,1997,25666.66667,40250,63.76811594,아파트,4,20,8,광교산로 148,신미주,84.89,경기도 수원시 장안구 연무동,연무동,-6.901315979,대형,70.66943192
9,1997,22500,41500,54.21686747,아파트,4,20,11,광교산로 148,신미주,84.89,경기도 수원시 장안구 연무동,연무동,-16.45256445,대형,70.66943192
10,1997,20000,27225,73.46189164,아파트,4,20,12,광교산로 148,신미주,59.94,경기도 수원시 장안구 연무동,연무동,-1.888936677,중형,75.35082832
11,1997,21750,26650,81.61350844,아파트,4,20,13,광교산로 148,신미주,59.94,경기도 수원시 장안구 연무동,연무동,6.262680123,중형,75.35082832
12,1997,27250,34250,79.5620438,아파트,4,20,13,광교산로 148,신미주,84.89,경기도 수원시 장안구 연무동,연무동,8.892611881,대형,70.66943192
13,1997,20000,35500,56.33802817,아파트,4,20,14,광교산로 148,신미주,84.89,경기도 수원시 장안구 연무동,연무동,-14.33140375,대형,70.66943192
14,1997,22000,30000,73.33333333,아파트,4,20,19,광교산로 148,신미주,84.89,경기도 수원시 장안구 연무동,연무동,2.663901411,대형,70.66943192
