Unnamed: 0,dealAmount,deposit,전세가율,buildYear,excluUseAr,floor,jibun,mhouseNm,sggCd,지역구명.x,umdNm.x,편차,전용면적_그룹,평균 전세가율
1,20000,500,2.5,1977,49.39,2,24,매산,41115,수원시 팔달구,매산로1가,-29.58156088,중형,32.08156088
2,20000,10000,50,1977,49.39,2,24,매산,41115,수원시 팔달구,매산로1가,17.91843912,중형,32.08156088
3,20000,5000,25,1977,49.39,2,24,매산,41115,수원시 팔달구,매산로1가,-7.081560884,중형,32.08156088
4,24700,11000,44.53441296,1977,49.39,3,24,매산,41115,수원시 팔달구,매산로1가,12.45285208,중형,32.08156088
5,24700,1000,4.048582996,1977,49.39,3,24,매산,41115,수원시 팔달구,매산로1가,-28.03297789,중형,32.08156088
6,24700,10000,40.48582996,1977,49.39,3,24,매산,41115,수원시 팔달구,매산로1가,8.404269076,중형,32.08156088
7,20750,11000,53.01204819,1977,49.39,3,24,매산,41115,수원시 팔달구,매산로1가,20.93048731,중형,32.08156088
8,20750,1000,4.819277108,1977,49.39,3,24,매산,41115,수원시 팔달구,매산로1가,-27.26228378,중형,32.08156088
9,20750,10000,48.19277108,1977,49.39,3,24,매산,41115,수원시 팔달구,매산로1가,16.1112102,중형,32.08156088
10,21500,9000,41.86046512,1977,49.39,4,24,매산,41115,수원시 팔달구,매산로1가,9.778904236,중형,32.08156088
11,21500,10000,46.51162791,1977,49.39,4,24,매산,41115,수원시 팔달구,매산로1가,14.43006703,중형,32.08156088
12,21500,11000,51.1627907,1977,49.39,4,24,매산,41115,수원시 팔달구,매산로1가,19.08122982,중형,32.08156088
13,22500,1000,4.444444444,1977,50.05,1,24,매산,41115,수원시 팔달구,매산로1가,-27.63711644,중형,32.08156088
14,21500,1000,4.651162791,1977,50.05,2,24,매산,41115,수원시 팔달구,매산로1가,-27.43039809,중형,32.08156088
15,20000,12000,60,1977,50.05,4,24,매산,41115,수원시 팔달구,매산로1가,27.91843912,중형,32.08156088
16,39500,1000,2.53164557,1977,69.29,2,24,매산,41115,수원시 팔달구,매산로1가,-9.658636953,대형,12.19028252
17,30000,1000,3.333333333,1977,69.29,2,24,매산,41115,수원시 팔달구,매산로1가,-8.85694919,대형,12.19028252
18,36500,1000,2.739726027,1977,69.29,2,24,매산,41115,수원시 팔달구,매산로1가,-9.450556496,대형,12.19028252
19,27500,500,1.818181818,1977,69.29,3,24,매산,41115,수원시 팔달구,매산로1가,-10.3721007,대형,12.19028252
20,27500,3000,10.90909091,1977,69.29,3,24,매산,41115,수원시 팔달구,매산로1가,-1.281191613,대형,12.19028252
21,25000,15000,60,1977,69.29,4,24,매산,41115,수원시 팔달구,매산로1가,47.80971748,대형,12.19028252
22,25000,1000,4,1977,69.29,4,24,매산,41115,수원시 팔달구,매산로1가,-8.190282523,대형,12.19028252
23,9233.333333,7600,82.31046931,1978,42.74,1,Jun-45,수정,41111,수원시 장안구,정자동,15.94271509,중형,66.36775422
24,9233.333333,7000,75.81227437,1978,42.74,1,Jun-45,수정,41111,수원시 장안구,정자동,9.444520148,중형,66.36775422
25,9233.333333,8000,86.64259928,1978,42.74,1,Jun-45,수정,41111,수원시 장안구,정자동,20.27484506,중형,66.36775422
26,9233.333333,8500,92.05776173,1978,42.74,1,Jun-45,수정,41111,수원시 장안구,정자동,25.69000751,중형,66.36775422
27,9900,500,5.050505051,1978,46.41,1,45-46,명동,41111,수원시 장안구,정자동,-61.31724917,중형,66.36775422
28,10250,500,4.87804878,1978,46.41,1,45-46,명동,41111,수원시 장안구,정자동,-61.48970544,중형,66.36775422
29,8000,500,6.25,1978,46.41,1,45-46,명동,41111,수원시 장안구,정자동,-60.11775422,중형,66.36775422
30,13300,1000,7.518796992,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동,-50.23805704,중형,57.75685404
31,13300,10000,75.18796992,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동,17.43111588,중형,57.75685404
32,13300,4000,30.07518797,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동,-27.68166607,중형,57.75685404
33,13300,9500,71.42857143,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동,13.67171739,중형,57.75685404
34,13300,700,5.263157895,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동,-52.49369614,중형,57.75685404
35,13300,7500,56.39097744,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동,-1.365876597,중형,57.75685404
36,12700,1000,7.874015748,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동,-49.88283829,중형,57.75685404
37,12700,10000,78.74015748,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동,20.98330344,중형,57.75685404
38,12700,4000,31.49606299,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동,-26.26079105,중형,57.75685404
39,12700,9500,74.80314961,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동,17.04629557,중형,57.75685404
40,12700,700,5.511811024,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동,-52.24504301,중형,57.75685404
41,12700,7500,59.05511811,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동,1.298264073,중형,57.75685404
42,9500,1000,10.52631579,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동,-47.23053825,중형,57.75685404
43,9500,10000,105.2631579,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동,47.50630386,중형,57.75685404
44,9500,4000,42.10526316,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동,-15.65159088,중형,57.75685404
45,9500,9500,100,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동,42.24314596,중형,57.75685404
46,9500,700,7.368421053,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동,-50.38843298,중형,57.75685404
47,9500,7500,78.94736842,1978,48.26,1,563-4,현대(563-4),41113,수원시 권선구,세류동,21.19051438,중형,57.75685404
48,17100,11000,64.32748538,1978,51.93,1,125-3,고려,41113,수원시 권선구,세류동,6.570631343,중형,57.75685404
49,17100,12000,70.1754386,1978,51.93,1,125-3,고려,41113,수원시 권선구,세류동,12.41858456,중형,57.75685404
50,16150,12000,74.30340557,1978,51.93,2,125-3,고려,41113,수원시 권선구,세류동,16.54655153,중형,57.75685404
51,16150,13000,80.49535604,1978,51.93,2,125-3,고려,41113,수원시 권선구,세류동,22.738502,중형,57.75685404
52,11100,500,4.504504505,1978,53.55,1,07월 07일,삼부,41111,수원시 장안구,정자동,-61.86324972,중형,66.36775422
53,19285,1000,5.185377236,1978,54.02,2,05월 24일,연무,41111,수원시 장안구,연무동,-44.88840691,중형,50.07378415
54,14500,11000,75.86206897,1978,54.55,1,07월 07일,삼부,41111,수원시 장안구,정자동,9.494314748,중형,66.36775422
55,10800,9000,83.33333333,1978,54.55,2,07월 07일,삼부,41111,수원시 장안구,정자동,16.96557911,중형,66.36775422
56,10800,9500,87.96296296,1978,54.55,2,07월 07일,삼부,41111,수원시 장안구,정자동,21.59520874,중형,66.36775422
57,15200,13000,85.52631579,1978,55.44,1,339-1,동양,41111,수원시 장안구,영화동,28.15552711,중형,57.37078868
58,15200,1000,6.578947368,1978,55.44,1,339-1,동양,41111,수원시 장안구,영화동,-50.79184131,중형,57.37078868
59,15200,5000,32.89473684,1978,55.44,1,339-1,동양,41111,수원시 장안구,영화동,-24.47605184,중형,57.37078868
60,15200,10900,71.71052632,1978,55.44,1,339-1,동양,41111,수원시 장안구,영화동,14.33973764,중형,57.37078868
61,13800,0,0,1978,55.44,2,339-1,동양,41111,수원시 장안구,영화동,-57.37078868,중형,57.37078868
62,13800,1000,7.246376812,1978,55.44,2,339-1,동양,41111,수원시 장안구,영화동,-50.12441187,중형,57.37078868
63,17200,6500,37.79069767,1978,56.56,1,819-2,금성연립,41115,수원시 팔달구,인계동,-50.48953231,중형,88.28022998
64,17200,11000,63.95348837,1978,56.56,1,819-2,금성연립,41115,수원시 팔달구,인계동,-24.32674161,중형,88.28022998
65,17200,11500,66.86046512,1978,56.56,1,819-2,금성연립,41115,수원시 팔달구,인계동,-21.41976486,중형,88.28022998
66,16014.28571,10000,62.44424621,1978,56.56,2,819-2,금성연립,41115,수원시 팔달구,인계동,-25.83598377,중형,88.28022998
67,16014.28571,12000,74.93309545,1978,56.56,2,819-2,금성연립,41115,수원시 팔달구,인계동,-13.34713453,중형,88.28022998
68,16014.28571,1000,6.244424621,1978,56.56,2,819-2,금성연립,41115,수원시 팔달구,인계동,-82.03580536,중형,88.28022998
