동,면적구간,평균 전세가율
고등동,소형,72.05183826626471
고등동,중형,66.63174853756
고등동,대형,50.4425642036
고등동,초대형,데이터 없음
고색동,소형,49.89339406648276
고색동,중형,66.63242681872448
고색동,대형,61.63278071579104
고색동,초대형,데이터 없음
곡반정동,소형,데이터 없음
곡반정동,중형,35.83777499642857
곡반정동,대형,86.14457831499999
곡반정동,초대형,데이터 없음
교동,소형,50.90559981253846
교동,중형,66.19917373383333
교동,대형,64.04466250775
교동,초대형,데이터 없음
구운동,소형,데이터 없음
구운동,중형,61.787619547784615
구운동,대형,64.83038564591999
구운동,초대형,데이터 없음
구천동,소형,데이터 없음
구천동,중형,100.0
구천동,대형,데이터 없음
구천동,초대형,데이터 없음
권선동,소형,52.96459645228948
권선동,중형,53.323734424469876
권선동,대형,25.30738788004348
권선동,초대형,100.0
금곡동,소형,66.52409466666667
금곡동,중형,58.470198379184616
금곡동,대형,61.779626625000006
금곡동,초대형,데이터 없음
남수동,소형,데이터 없음
남수동,중형,62.67033543
남수동,대형,99.43557944000001
남수동,초대형,데이터 없음
남창동,소형,데이터 없음
남창동,중형,55.88235294
남창동,대형,94.89441325333333
남창동,초대형,33.79310345
당수동,소형,데이터 없음
당수동,중형,60.89200831833333
당수동,대형,58.36155821275
당수동,초대형,데이터 없음
망포동,소형,데이터 없음
망포동,중형,72.92625356322581
망포동,대형,90.463458112
망포동,초대형,데이터 없음
매교동,소형,데이터 없음
매교동,중형,49.26039596363636
매교동,대형,80.050605881
매교동,초대형,데이터 없음
매산로1가,소형,데이터 없음
매산로1가,중형,32.081560883933335
매산로1가,대형,12.190282522571428
매산로1가,초대형,데이터 없음
매산로2가,소형,74.11347517749999
매산로2가,중형,데이터 없음
매산로2가,대형,81.06820234999999
매산로2가,초대형,데이터 없음
매산로3가,소형,58.809134544428574
매산로3가,중형,72.68047675418919
매산로3가,대형,41.923087298714286
매산로3가,초대형,데이터 없음
매탄동,소형,10.342005546083334
매탄동,중형,34.29427852065789
매탄동,대형,40.14932155606111
매탄동,초대형,데이터 없음
매향동,소형,데이터 없음
매향동,중형,77.658942115
매향동,대형,데이터 없음
매향동,초대형,데이터 없음
서둔동,소형,66.66666667
서둔동,중형,55.10267988194178
서둔동,대형,39.012330855983194
서둔동,초대형,데이터 없음
세류동,소형,72.12472133953847
세류동,중형,57.756854036545086
세류동,대형,46.94109574378947
세류동,초대형,데이터 없음
송죽동,소형,58.00185776570834
송죽동,중형,67.25582817401519
송죽동,대형,56.448270933137934
송죽동,초대형,34.72222222
신풍동,소형,데이터 없음
신풍동,중형,55.0490988158
신풍동,대형,12.812911726000001
신풍동,초대형,데이터 없음
연무동,소형,75.545454546
연무동,중형,50.073784150791106
연무동,대형,77.56062021285713
연무동,초대형,데이터 없음
영통동,소형,데이터 없음
영통동,중형,62.996794871875004
영통동,대형,데이터 없음
영통동,초대형,데이터 없음
영화동,소형,26.00605998728571
영화동,중형,57.370788682503935
영화동,대형,55.277196770500005
영화동,초대형,데이터 없음
오목천동,소형,68.45581633666667
오목천동,중형,53.927971151
오목천동,대형,61.8043113046875
오목천동,초대형,데이터 없음
우만동,소형,52.66238401293548
우만동,중형,64.05149865743009
우만동,대형,63.19065043364286
우만동,초대형,데이터 없음
원천동,소형,28.2019876815
원천동,중형,70.9479422097
원천동,대형,64.40677966
원천동,초대형,45.480852962463416
율전동,소형,50.75785089715476
율전동,중형,55.60640491909524
율전동,대형,53.74839571352941
율전동,초대형,데이터 없음
이의동,소형,데이터 없음
이의동,중형,데이터 없음
이의동,대형,53.89942238185714
이의동,초대형,52.15895989503825
인계동,소형,77.90105495001666
인계동,중형,88.28022998434821
인계동,대형,58.53118308119231
인계동,초대형,48.27586207
입북동,소형,데이터 없음
입북동,중형,43.40535848135
입북동,대형,데이터 없음
입북동,초대형,데이터 없음
장안동,소형,데이터 없음
장안동,중형,데이터 없음
장안동,대형,88.66995074
장안동,초대형,데이터 없음
장지동,소형,데이터 없음
장지동,중형,71.847243998
장지동,대형,데이터 없음
장지동,초대형,데이터 없음
정자동,소형,59.72078563592308
정자동,중형,66.36775422183668
정자동,대형,68.82193440756521
정자동,초대형,데이터 없음
조원동,소형,96.41025641
조원동,중형,64.40913752750835
조원동,대형,59.37758816692064
조원동,초대형,데이터 없음
지동,소형,48.333333333333336
지동,중형,46.56261896659649
지동,대형,64.96409234358333
지동,초대형,데이터 없음
천천동,소형,42.47748942428
천천동,중형,51.613806246375
천천동,대형,57.986326014
천천동,초대형,데이터 없음
탑동,소형,10.0
탑동,중형,55.2491852476
탑동,대형,40.549472043289725
탑동,초대형,데이터 없음
파장동,소형,30.455462816333334
파장동,중형,64.72323106475109
파장동,대형,63.80418655491667
파장동,초대형,84.0015273
팔달로3가,소형,36.4433554512
팔달로3가,중형,데이터 없음
팔달로3가,대형,데이터 없음
팔달로3가,초대형,100.0
평동,소형,27.69223403223529
평동,중형,37.573715059
평동,대형,데이터 없음
평동,초대형,데이터 없음
하광교동,소형,데이터 없음
하광교동,중형,27.38822358725
하광교동,대형,데이터 없음
하광교동,초대형,데이터 없음
호매실동,소형,데이터 없음
호매실동,중형,66.17640109064922
호매실동,대형,72.9205527
호매실동,초대형,데이터 없음
화서동,소형,54.808688328375
화서동,중형,57.81221530868199
화서동,대형,58.60313686798611
화서동,초대형,58.44017094
