,dealAmount,deposit,전세가율,buildYear,excluUseAr,floor,본번,부번,offiNm,sggCd,sggNm.x,umdNm.x,편차,전용면적_그룹,평균 전세가율
1,3866.666667,2000,51.72413793,1989,20.25,5,300,0,율전미주타운,41111,수원시 장안구,율전동,0,소형,51.72413793
2,8200,6000,73.17073171,1989,35.64,2,300,0,율전미주타운,41111,수원시 장안구,율전동,39.65648096,중형,33.51425075
3,8600,700,8.139534884,1989,39.6,3,300,0,율전미주타운,41111,수원시 장안구,율전동,-25.37471586,중형,33.51425075
4,8000,500,6.25,1989,40.5,3,300,0,율전미주타운,41111,수원시 장안구,율전동,-27.26425075,중형,33.51425075
5,8300,500,6.024096386,1989,40.5,5,300,0,율전미주타운,41111,수원시 장안구,율전동,-27.49015436,중형,33.51425075
6,9450,1250,13.22751323,1989,40.5,6,300,0,율전미주타운,41111,수원시 장안구,율전동,-20.28673752,중형,33.51425075
7,9000,500,5.555555556,1989,40.5,7,300,0,율전미주타운,41111,수원시 장안구,율전동,-27.95869519,중형,33.51425075
8,9200,500,5.434782609,1989,42.64,5,300,0,율전미주타운,41111,수원시 장안구,율전동,-28.07946814,중형,33.51425075
9,6950,500,7.194244604,1991,33.83,14,1046,19,수원프라자,41115,수원시 팔달구,인계동,-58.35489272,중형,65.54913732
10,5500,100,1.818181818,1992,36,8,115,0,115,41115,수원시 팔달구,매산로1가,-18.09616683,중형,19.91434864
11,10300,500,4.854368932,1999,17.96,6,998,2,르네상스 시티프라자,41117,수원시 영통구,영통동,-22.15660842,소형,27.01097735
12,6700,500,7.462686567,2000,25.99,7,958,2,훼미리타워,41117,수원시 영통구,영통동,-19.54829079,소형,27.01097735
13,6800,2500,36.76470588,2000,25.99,8,958,2,훼미리타워,41117,수원시 영통구,영통동,9.753728528,소형,27.01097735
14,6800,425,6.25,2000,25.99,9,958,2,훼미리타워,41117,수원시 영통구,영통동,-20.76097735,소형,27.01097735
15,6500,500,7.692307692,2000,25.99,10,958,2,훼미리타워,41117,수원시 영통구,영통동,-19.31866966,소형,27.01097735
16,5900,500,8.474576271,2000,25.99,13,958,2,훼미리타워,41117,수원시 영통구,영통동,-18.53640108,소형,27.01097735
17,6800,500,7.352941176,2000,25.99,14,958,2,훼미리타워,41117,수원시 영통구,영통동,-19.65803618,소형,27.01097735
18,6550,4750,72.51908397,2000,25.99,15,958,2,훼미리타워,41117,수원시 영통구,영통동,45.50810662,소형,27.01097735
19,6500,500,7.692307692,2000,25.99,16,958,2,훼미리타워,41117,수원시 영통구,영통동,-19.31866966,소형,27.01097735
20,6800,500,7.352941176,2000,27.73,16,958,2,훼미리타워,41117,수원시 영통구,영통동,-19.65803618,소형,27.01097735
21,6500,500,7.692307692,2000,27.74,9,958,2,훼미리타워,41117,수원시 영통구,영통동,-19.31866966,소형,27.01097735
22,7200,2633.333333,36.57407407,2000,27.74,11,958,2,훼미리타워,41117,수원시 영통구,영통동,9.563096718,소형,27.01097735
23,6750,2566.666667,38.02469136,2000,27.74,13,958,2,훼미리타워,41117,수원시 영통구,영통동,11.01371401,소형,27.01097735
24,7475,500,6.688963211,2000,27.74,14,958,2,훼미리타워,41117,수원시 영통구,영통동,-20.32201414,소형,27.01097735
25,7300,750,10.2739726,2000,28.72,16,958,2,훼미리타워,41117,수원시 영통구,영통동,-16.73700475,소형,27.01097735
26,6650,500,7.518796992,2000,28.88,6,958,2,훼미리타워,41117,수원시 영통구,영통동,-19.49218036,소형,27.01097735
27,6900,500,7.246376812,2000,29.27,6,958,2,훼미리타워,41117,수원시 영통구,영통동,-19.76460054,소형,27.01097735
28,7200,500,6.944444444,2000,29.27,10,958,2,훼미리타워,41117,수원시 영통구,영통동,-20.06653291,소형,27.01097735
29,6800,6500,95.58823529,2000,30.17,8,958,2,훼미리타워,41117,수원시 영통구,영통동,76.01413217,중형,19.57410312
30,7500,500,6.666666667,2000,31.21,10,958,2,훼미리타워,41117,수원시 영통구,영통동,-12.90743646,중형,19.57410312
31,6950,6500,93.52517986,2000,31.28,6,958,2,훼미리타워,41117,수원시 영통구,영통동,73.95107674,중형,19.57410312
