"년도","분기","시도","시군구","단속업소수","과태료","경고","고발","조치중","시도명","시군구명"
"2017",1,"11","11140",4,1,0,0,0,서울특별시,중구
"2017",1,"11","11200",0,0,0,0,0,서울특별시,성동구
"2017",1,"11","11215",0,2,0,0,0,서울특별시,광진구
"2017",1,"11","11260",0,1,0,0,0,서울특별시,중랑구
"2017",1,"11","11305",0,0,0,0,0,서울특별시,강북구
"2017",1,"11","11380",0,1,0,0,0,서울특별시,은평구
"2017",1,"11","11440",1,0,0,0,0,서울특별시,마포구
"2017",1,"11","11470",0,0,0,0,0,서울특별시,양천구
"2017",1,"11","11560",1,0,0,0,0,서울특별시,영등포구
"2017",1,"11","11650",4,3,0,0,0,서울특별시,서초구
"2017",1,"11","11680",15,3,0,0,0,서울특별시,강남구
"2017",1,"11","11710",0,0,0,0,0,서울특별시,송파구
"2017",1,"11","11740",0,0,0,0,0,서울특별시,강동구
"2017",1,"26","26290",2,0,0,0,0,부산광역시,남구
"2017",1,"26","26320",0,0,0,0,0,부산광역시,북구
"2017",1,"26","26350",0,0,0,0,0,부산광역시,해운대구
"2017",1,"26","26410",2,1,0,0,0,부산광역시,금정구
"2017",1,"27","27140",1,0,0,0,0,대구광역시,동구
"2017",1,"27","27260",0,5,0,0,0,대구광역시,수성구
"2017",1,"27","27290",1,2,0,0,0,대구광역시,달서구
"2017",1,"28","28200",0,0,0,0,0,인천광역시,남동구
"2017",1,"28","28237",0,0,0,0,0,인천광역시,부평구
"2017",1,"29","29110",0,2,0,0,0,광주광역시,동구
"2017",1,"29","29140",0,0,0,0,0,광주광역시,서구
"2017",1,"29","29170",0,0,0,0,0,광주광역시,북구
"2017",1,"29","29200",0,0,0,0,0,광주광역시,광산구
"2017",1,"30","30140",0,0,0,0,0,대전광역시,중구
"2017",1,"30","30170",0,0,0,0,0,대전광역시,서구
"2017",1,"31","31110",0,0,0,0,0,울산광역시,중구
"2017",1,"31","31140",0,1,0,0,0,울산광역시,남구
"2017",1,"31","31170",0,0,0,0,0,울산광역시,동구
"2017",1,"31","31710",1,1,0,0,0,울산광역시,울주군
"2017",1,"36","36110",0,0,0,0,0,세종특별자치시,세종시
"2017",1,"41","41111",0,0,0,0,0,경기도,수원시장안구
"2017",1,"41","41117",0,1,0,0,0,경기도,수원시영통구
"2017",1,"41","41131",0,2,0,0,0,경기도,성남시수정구
"2017",1,"41","41133",0,0,0,0,0,경기도,성남시중원구
"2017",1,"41","41135",0,0,0,0,0,경기도,성남시분당구
"2017",1,"41","41150",0,6,0,0,0,경기도,의정부시
"2017",1,"41","41190",0,1,0,0,0,경기도,부천시
"2017",1,"41","41210",1,0,0,0,0,경기도,광명시
"2017",1,"41","41220",0,4,0,0,0,경기도,평택시
"2017",1,"41","41250",1,0,0,0,0,경기도,동두천시
"2017",1,"41","41273",4,0,0,0,0,경기도,안산시단원구
"2017",1,"41","41281",0,1,0,0,0,경기도,고양시덕양구
"2017",1,"41","41285",0,0,0,0,0,경기도,고양시일산동구
"2017",1,"41","41360",0,0,0,0,0,경기도,남양주시
"2017",1,"41","41370",0,0,0,0,0,경기도,오산시
"2017",1,"41","41390",0,0,0,0,0,경기도,시흥시
"2017",1,"41","41461",0,0,0,0,0,경기도,용인시처인구
"2017",1,"41","41465",1,1,0,0,0,경기도,용인시수지구
"2017",1,"41","41500",10,0,0,0,0,경기도,이천시
"2017",1,"41","41550",0,3,0,0,0,경기도,안성시
"2017",1,"41","41570",0,1,0,0,0,경기도,김포시
"2017",1,"41","41590",0,0,0,0,0,경기도,화성시
"2017",1,"41","41610",0,1,0,0,0,경기도,광주시
"2017",1,"41","41650",0,0,0,0,0,경기도,포천시
"2017",1,"41","41830",0,0,0,0,0,경기도,양평군
"2017",1,"43","43111",0,0,0,0,0,충청북도,청주시상당구
"2017",1,"43","43114",0,0,0,1,0,충청북도,청주시청원구
"2017",1,"44","44133",0,1,0,0,0,충청남도,천안시서북구
"2017",1,"44","44200",0,0,0,0,0,충청남도,아산시
"2017",1,"44","44270",0,0,0,0,0,충청남도,당진시
"2017",1,"46","46710",40,1,0,0,0,전라남도,담양군
"2017",1,"46","46840",0,6,0,0,0,전라남도,무안군
"2017",1,"47","47111",70,0,0,0,0,경상북도,포항시남구
"2017",1,"47","47170",1,2,0,0,0,경상북도,안동시
"2017",1,"47","47190",0,0,0,0,0,경상북도,구미시
"2017",1,"47","47230",0,0,0,0,0,경상북도,영천시
"2017",1,"47","47290",3,1,0,1,0,경상북도,경산시
