"시도명","시군구명","중개인","공인중개사","법인","계","분사무소"
서울특별시,종로구,30,439,24,493,52
서울특별시,중구,38,467,31,536,74
서울특별시,용산구,31,729,29,789,99
서울특별시,성동구,14,675,34,723,100
서울특별시,광진구,21,786,8,815,108
서울특별시,동대문구,34,742,8,784,146
서울특별시,중랑구,35,630,3,668,109
서울특별시,성북구,23,727,5,755,87
서울특별시,강북구,17,516,3,536,75
서울특별시,도봉구,17,431,5,453,46
서울특별시,노원구,21,641,2,664,82
서울특별시,은평구,27,950,4,981,153
서울특별시,서대문구,22,575,5,602,86
서울특별시,마포구,38,1006,37,1081,162
서울특별시,양천구,22,816,2,840,84
서울특별시,강서구,17,1102,29,1148,160
서울특별시,구로구,31,668,10,709,84
서울특별시,금천구,35,511,24,570,98
서울특별시,영등포구,57,895,26,978,188
서울특별시,동작구,21,699,8,728,121
서울특별시,관악구,34,801,10,845,156
서울특별시,서초구,26,1312,123,1461,315
서울특별시,강남구,49,2091,334,2474,530
서울특별시,송파구,32,1403,73,1508,220
서울특별시,강동구,47,1029,20,1096,245
부산광역시,중구,9,92,2,103,23
부산광역시,서구,2,120,3,125,18
부산광역시,동구,5,136,1,142,26
부산광역시,영도구,3,110,2,115,16
부산광역시,부산진구,5,718,16,739,159
부산광역시,동래구,8,599,6,613,104
부산광역시,남구,4,450,5,459,94
부산광역시,북구,4,331,2,337,41
부산광역시,해운대구,4,777,15,796,122
부산광역시,사하구,5,402,4,411,48
부산광역시,금정구,6,427,5,438,65
부산광역시,강서구,6,521,5,532,86
부산광역시,연제구,10,464,12,486,105
부산광역시,수영구,6,430,7,443,90
부산광역시,사상구,3,269,4,276,42
부산광역시,기장군,1,348,4,353,50
대구광역시,중구,12,291,10,313,82
대구광역시,동구,3,601,10,614,91
대구광역시,서구,3,239,4,246,51
대구광역시,남구,5,234,2,241,53
대구광역시,북구,4,667,3,674,86
대구광역시,수성구,6,939,10,955,194
대구광역시,달서구,8,884,3,895,118
대구광역시,달성군,5,447,0,452,43
대구광역시,군위군,0,47,0,47,9
인천광역시,중구,7,323,4,334,77
인천광역시,동구,4,86,0,90,15
인천광역시,미추홀구,18,719,6,743,121
인천광역시,연수구,2,727,12,741,189
인천광역시,남동구,13,777,10,800,121
인천광역시,부평구,6,817,4,827,127
인천광역시,계양구,4,420,3,427,65
인천광역시,서구,16,1184,14,1214,250
인천광역시,강화군,7,211,2,220,24
인천광역시,옹진군,0,24,0,24,12
광주광역시,동구,14,340,8,362,36
광주광역시,서구,11,791,14,816,97
광주광역시,남구,7,389,5,401,40
광주광역시,북구,20,805,7,832,103
광주광역시,광산구,11,931,12,954,120
대전광역시,동구,10,349,1,360,59
대전광역시,중구,21,328,4,353,53
대전광역시,서구,20,920,6,946,167
대전광역시,유성구,5,811,7,823,143
대전광역시,대덕구,7,220,2,229,32
울산광역시,중구,6,277,0,283,38
울산광역시,남구,5,746,6,757,105
울산광역시,동구,6,129,0,135,16
울산광역시,북구,5,261,1,267,29
울산광역시,울주군,15,379,0,394,39
세종특별자치시,세종시,3,1026,7,1036,154
