"년도","분기","시도명","시군구명","단속업소수","적발건수","고발센터신고건수","계","등록취소","업무정지"
"2017",1,서울특별시,중구,4,4,0,4,1,2
"2017",1,서울특별시,성동구,0,1,1,1,0,1
"2017",1,서울특별시,광진구,0,3,0,3,1,0
"2017",1,서울특별시,중랑구,0,1,0,1,0,0
"2017",1,서울특별시,강북구,0,2,0,2,1,1
"2017",1,서울특별시,은평구,0,2,0,2,0,1
"2017",1,서울특별시,마포구,1,1,0,1,0,1
"2017",1,서울특별시,양천구,0,2,0,2,1,1
"2017",1,서울특별시,영등포구,1,1,0,1,0,1
"2017",1,서울특별시,서초구,4,11,0,11,0,8
"2017",1,서울특별시,강남구,15,12,0,12,0,9
"2017",1,서울특별시,송파구,0,1,0,1,0,1
"2017",1,서울특별시,강동구,0,2,0,2,0,2
"2017",1,부산광역시,남구,2,2,2,2,0,2
"2017",1,부산광역시,북구,0,2,0,2,2,0
"2017",1,부산광역시,해운대구,0,1,0,1,0,1
"2017",1,부산광역시,금정구,2,3,0,3,0,2
"2017",1,대구광역시,동구,1,1,1,1,0,1
"2017",1,대구광역시,수성구,0,8,3,8,0,3
"2017",1,대구광역시,달서구,1,4,0,4,0,2
"2017",1,인천광역시,남동구,0,1,1,1,1,0
"2017",1,인천광역시,부평구,0,1,0,1,0,1
"2017",1,광주광역시,동구,0,3,2,3,0,1
"2017",1,광주광역시,서구,0,1,0,1,0,1
"2017",1,광주광역시,북구,0,1,1,1,0,1
"2017",1,광주광역시,광산구,0,1,0,1,0,1
"2017",1,대전광역시,중구,0,1,0,1,0,1
"2017",1,대전광역시,서구,0,2,1,2,0,2
"2017",1,울산광역시,중구,0,3,0,3,2,1
"2017",1,울산광역시,남구,0,3,1,3,0,2
"2017",1,울산광역시,동구,0,1,0,1,0,1
"2017",1,울산광역시,울주군,1,1,0,1,0,0
"2017",1,세종특별자치시,세종시,0,1,1,1,0,1
"2017",1,경기도,수원시장안구,0,2,0,2,0,2
"2017",1,경기도,수원시영통구,0,1,0,1,0,0
"2017",1,경기도,성남시수정구,0,3,0,3,0,1
"2017",1,경기도,성남시중원구,0,1,0,1,1,0
"2017",1,경기도,성남시분당구,0,1,0,1,0,1
"2017",1,경기도,의정부시,0,6,0,6,0,0
"2017",1,경기도,부천시,0,2,0,2,1,0
"2017",1,경기도,광명시,1,1,0,1,0,1
"2017",1,경기도,평택시,0,10,0,10,1,5
"2017",1,경기도,동두천시,1,2,1,2,0,2
"2017",1,경기도,안산시단원구,4,4,0,4,1,3
"2017",1,경기도,고양시덕양구,0,3,0,3,0,2
"2017",1,경기도,고양시일산동구,0,1,0,1,0,1
"2017",1,경기도,남양주시,0,1,0,1,0,1
"2017",1,경기도,오산시,0,1,0,1,0,1
"2017",1,경기도,시흥시,0,6,0,6,4,2
"2017",1,경기도,용인시처인구,0,1,1,1,0,1
"2017",1,경기도,용인시수지구,1,1,0,1,0,0
"2017",1,경기도,이천시,10,1,0,1,0,1
"2017",1,경기도,안성시,0,4,0,4,0,1
"2017",1,경기도,김포시,0,5,0,5,1,3
"2017",1,경기도,화성시,0,5,0,5,3,2
"2017",1,경기도,광주시,0,2,0,2,0,1
"2017",1,경기도,포천시,0,1,0,1,0,1
"2017",1,경기도,양평군,0,1,0,1,0,1
"2017",1,충청북도,청주시상당구,0,2,0,2,1,1
"2017",1,충청북도,청주시청원구,0,0,0,0,0,0
"2017",1,충청남도,천안시서북구,0,4,0,4,1,2
"2017",1,충청남도,아산시,0,1,1,1,1,0
"2017",1,충청남도,당진시,0,2,0,2,0,2
"2017",1,전라남도,담양군,40,1,0,1,0,0
"2017",1,전라남도,무안군,0,7,0,7,0,1
"2017",1,경상북도,포항시남구,70,2,1,2,0,2
"2017",1,경상북도,안동시,1,3,0,3,0,1
"2017",1,경상북도,구미시,0,2,2,2,0,2
"2017",1,경상북도,영천시,0,4,0,4,2,2
"2017",1,경상북도,경산시,3,2,3,2,0,1
"2017",1,경상북도,예천군,0,1,0,1,0,1
"2017",1,경상남도,진주시,0,6,0,6,0,5
"2017",1,경상남도,사천시,0,1,1,1,0,1
"2017",1,경상남도,김해시,2,2,0,2,0,2
"2017",1,경상남도,거제시,2,2,0,2,0,2
"2017",1,경상남도,양산시,0,1,1,1,1,0
"2017",1,제주특별자치도,제주시,0,2,1,2,0,1
"2017",1,제주특별자치도,서귀포시,1,1,0,1,1,0
"2017",1,강원특별자치도,원주시,0,1,0,1,0,1
"2017",1,강원특별자치도,강릉시,0,3,3,3,0,3
"2017",1,강원특별자치도,평창군,0,1,0,1,1,0
"2017",1,전북특별자치도,전주시완산구,0,4,0,4,1,1
"2017",1,전북특별자치도,전주시덕진구,0,3,1,3,0,3
"2017",1,전북특별자치도,남원시,1,1,1,1,1,0
"2017",1,전북특별자치도,김제시,0,1,1,1,0,1
"2017",2,서울특별시,종로구,0,1,0,1,0,0
"2017",2,서울특별시,중구,1,1,0,1,1,0
"2017",2,서울특별시,용산구,0,4,1,4,3,1
"2017",2,서울특별시,광진구,0,2,0,2,0,2
"2017",2,서울특별시,동대문구,0,2,0,2,1,1
"2017",2,서울특별시,성북구,1,1,0,1,0,0
"2017",2,서울특별시,강북구,0,2,0,2,0,0
"2017",2,서울특별시,은평구,0,4,0,4,0,4
"2017",2,서울특별시,서대문구,0,5,2,5,1,0
"2017",2,서울특별시,마포구,5,3,1,3,0,1
"2017",2,서울특별시,강서구,2,3,0,3,1,2
"2017",2,서울특별시,구로구,0,5,1,5,3,2
"2017",2,서울특별시,동작구,1,1,1,1,0,1
"2017",2,서울특별시,서초구,2,8,0,8,0,5
"2017",2,서울특별시,강남구,9,9,0,9,0,8
"2017",2,서울특별시,송파구,1,6,0,6,1,2
"2017",2,서울특별시,강동구,0,10,0,10,0,2
"2017",2,부산광역시,서구,269,7,0,7,0,0
"2017",2,부산광역시,동구,84,1,1,1,0,1
"2017",2,부산광역시,부산진구,0,1,1,1,1,0
"2017",2,부산광역시,남구,1,1,1,1,0,0
"2017",2,부산광역시,북구,0,8,0,8,0,8
"2017",2,부산광역시,사하구,0,1,0,1,0,1
"2017",2,부산광역시,금정구,2,7,1,7,0,1
"2017",2,부산광역시,강서구,0,14,0,14,0,12
"2017",2,부산광역시,수영구,0,1,1,1,0,0
"2017",2,대구광역시,동구,3,3,0,3,3,0
"2017",2,대구광역시,서구,0,1,1,1,0,0
"2017",2,대구광역시,수성구,0,1,0,1,0,0
"2017",2,대구광역시,달서구,1,1,1,1,0,0
"2017",2,인천광역시,미추홀구,0,1,0,1,1,0
"2017",2,인천광역시,연수구,1,1,0,1,0,1
"2017",2,인천광역시,남동구,5,6,6,6,2,4
"2017",2,인천광역시,부평구,0,6,0,6,3,3
"2017",2,광주광역시,동구,0,4,0,4,1,3
"2017",2,광주광역시,서구,1,1,0,1,0,1
"2017",2,광주광역시,북구,0,2,0,2,0,0
"2017",2,광주광역시,광산구,0,1,0,1,0,1
"2017",2,대전광역시,동구,0,2,0,2,1,1
"2017",2,울산광역시,남구,0,7,0,7,0,2
