buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,offiNm,sggCd,sggNm,slerGbn,umdNm,지역구명,본번,부번
2005, , , ,17500.0,31,1,2021, , ,58.42,15,285-2,SK HUB BLUE,41111,수원시 장안구, ,율전동,수원시 장안구,285,2
2020, , , ,29800.0,10,1,2021, , ,84.725,3,583-43,대경시실리,41111,수원시 장안구, ,파장동,수원시 장안구,583,43
2003, , , ,9900.0,23,1,2021, , ,34.0,9,894,일호골든타워,41111,수원시 장안구, ,조원동,수원시 장안구,894,0
1989, , , ,4000.0,23,1,2021, , ,20.25,7,300,율전미주타운,41111,수원시 장안구, ,율전동,수원시 장안구,300,0
2006, , , ,22000.0,2,1,2021, , ,59.99,3,514,수원로얄팰리스,41111,수원시 장안구, ,송죽동,수원시 장안구,514,0
2005, , , ,22000.0,1,1,2021, , ,75.49,13,285-2,SK HUB BLUE,41111,수원시 장안구, ,율전동,수원시 장안구,285,2
2005, , , ,16000.0,11,1,2021, , ,58.42,17,285-2,SK HUB BLUE,41111,수원시 장안구, ,율전동,수원시 장안구,285,2
2004, ,21.04.30,O,20200.0,7,1,2021, , ,71.61,13,1011-14,올림픽공원대우미래사랑 101동,41113,수원시 권선구, ,권선동,수원시 권선구,1011,14
2004, , , ,8300.0,23,1,2021, , ,35.0,2,1011-14,올림픽공원대우미래사랑 101동,41113,수원시 권선구, ,권선동,수원시 권선구,1011,14
2004, , , ,20000.0,25,1,2021, , ,71.61,7,1011-10,올림픽공원대우미래사랑102동,41113,수원시 권선구, ,권선동,수원시 권선구,1011,10
2004, , , ,18000.0,26,1,2021, , ,68.08,8,1011-14,올림픽공원대우미래사랑 101동,41113,수원시 권선구, ,권선동,수원시 권선구,1011,14
2006, , , ,24600.0,27,1,2021, , ,92.0393,3,1013,지오베르크,41113,수원시 권선구, ,권선동,수원시 권선구,1013,0
